Term Set Name,Term Set Description,LCID,Available for Tagging,Term Description,Level 1 Term,Level 2 Term
Murphy Sites,"All Murphy Sites (offices, facilities, platforms)",,TRUE,,Regional Offices,
,,,TRUE,,Regional Offices,Houston
,,,TRUE,,Regional Offices,El Dorado
,,,TRUE,,Regional Offices,Calgary
,,,TRUE,,Regional Offices,Perth
,,,TRUE,,Regional Offices,Ho Chi Minh City
,,,TRUE,,Data Centers,
,,,TRUE,Houston Data Center,Data Centers,HOU
,,,TRUE,Cyberjaya Datacenter @ NTT,Data Centers,CBJ4
,,,TRUE,,Remote/VPN Offices,
,,,TRUE,,Remote/VPN Offices,Fox Creek
,,,TRUE,,Remote/VPN Offices,ELD Hangar
,,,TRUE,,Remote/VPN Offices,Amelia 
,,,TRUE,,Remote/VPN Offices,Fourchon 
,,,TRUE,,Remote/VPN Offices,Washington DC
,,,TRUE,,EFS,
,,,TRUE,PTP Tower PTP B Tower,EFS,JOHN JR UNIT 1H
,,,TRUE,PTP Tower PTP B Tower,EFS,TYLER 7H
,,,TRUE,PTP Tower PTP A-B Tower,EFS,BRIGGS NORTH CENTRAL FACILITY
,,,TRUE,PTP Tower PTP A-B Tower,EFS,BRIGGS SOUTN CENTRAL FACILITY
,,,TRUE,PTP Tower PTP A-B Tower,EFS,CARON CENTRAL FACILITY
,,,TRUE,PTP Tower PTP A-B Tower,EFS,CATERINA OFFICE
,,,TRUE,PTP Tower PTP A-B Tower,EFS,COMBS CENTRAL FACILITY
,,,TRUE,PTP Tower PTP A-B Tower,EFS,CRAZY MANKA CENTRAL FACILITY
,,,TRUE,PTP Tower PTP A-B Tower,EFS,DL RANCH CENTRAL FACILITY
,,,TRUE,PTP Tower PTP A-B Tower,EFS,DOUBLE K CENTRAL FACILITY
,,,TRUE,PTP Tower PTP A-B Tower,EFS,ESSE PRODUCTION FACILITY
,,,TRUE,PTP Tower PTP A-B Tower,EFS,KBS CENTRAL FACILITY
,,,TRUE,PTP Tower PTP A-B Tower,EFS,KONE CENTRAL FACILITY
,,,TRUE,PTP Tower PTP A-B Tower,EFS,LATKA CENTRAL FACILITY
,,,TRUE,PTP Tower PTP A-B Tower,EFS,LINHART 40 ACRE SURFACE SITE
,,,TRUE,PTP Tower PTP A-B Tower,EFS,LINHART CENTRAL FACILITY
,,,TRUE,PTP Tower PTP A-B Tower,EFS,PENNINGTON WILLIAMS CENTRAL FACILITY
,,,TRUE,PTP Tower PTP A-B Tower,EFS,SAYLEE SOUTH CENTRAL FACILITY
,,,TRUE,PTP Tower PTP A-B Tower,EFS,SCARED DOG CENTRAL FACILITY
,,,TRUE,PTP Tower PTP A-B Tower,EFS,SCHENDEL FACILITY
,,,TRUE,PTP Tower PTP A-B Tower,EFS,SWAIM CENTRAL FACILITY
,,,TRUE,PTP Tower PTP A-B Tower,EFS,TILDEN NORTH
,,,TRUE,PTP Tower PTP A-B Tower,EFS,Y-BAR CENTRAL FACILITY
,,,TRUE,PTP Tower PTP A-B Tower,EFS,Y-BAR OIL TERMINAL/ TANK BATTERIES
,,,TRUE,Office PTP A-B Tower,EFS,Tilden Office
,,,TRUE,Office PTP A-B Tower,EFS,Barring
,,,TRUE,Office PTP A-B Tower,EFS,Drees
,,,TRUE,Office PTP A-B Tower,EFS,Edwards
,,,TRUE,Office PTP A-B Tower,EFS,Jambers
,,,TRUE,Office PTP A-B Tower,EFS,Jog
,,,TRUE,Office PTP A-B Tower,EFS,Karnes Office
,,,TRUE,Office PTP A-B Tower,EFS,KAS
,,,TRUE,Office PTP A-B Tower,EFS,Pennington Williams CF
,,,TRUE,Office PTP A-B Tower,EFS,Schendel
,,,TRUE,Office PTP A-B Tower,EFS,Tom Facility
,,,TRUE,C-Tower,EFS,4J MINERAL UNIT 1H
,,,TRUE,C-Tower,EFS,4J MINERAL UNIT 3H
,,,TRUE,C-Tower,EFS,ALICE MAY-BARNETT EAST 3H
,,,TRUE,C-Tower,EFS,ALLEN UNIT 2H
,,,TRUE,C-Tower,EFS,ANTHONY WEST UNIT 1H
,,,TRUE,C-Tower,EFS,ARMAND UNIT 1H
,,,TRUE,C-Tower,EFS,ATZGER UNIT 3H
,,,TRUE,C-Tower,EFS,BARING 2H
,,,TRUE,C-Tower,EFS,BARING 4H
,,,TRUE,C-Tower,EFS,BARING 5H
,,,TRUE,C-Tower,EFS,BARING 8H
,,,TRUE,C-Tower,EFS,BARNETT UNIT 2H
,,,TRUE,C-Tower,EFS,BEK UNIT 3H
,,,TRUE,C-Tower,EFS,BELLAH UNIT 1H
,,,TRUE,C-Tower,EFS,BLANFORD UNIT 2H
,,,TRUE,C-Tower,EFS,BODDEN UNIT 2H
,,,TRUE,C-Tower,EFS,BRIGGS 10H
,,,TRUE,C-Tower,EFS,BRIGGS 15H
,,,TRUE,C-Tower,EFS,BRIGGS 16H
,,,TRUE,C-Tower,EFS,BRIGGS 1H
,,,TRUE,C-Tower,EFS,BRIGGS 22H
,,,TRUE,C-Tower,EFS,BRIGGS 23H
,,,TRUE,C-Tower,EFS,BRIGGS 24H
,,,TRUE,C-Tower,EFS,BRIGGS 27H
,,,TRUE,C-Tower,EFS,BRIGGS 2H
,,,TRUE,C-Tower,EFS,BRIGGS 3H
,,,TRUE,C-Tower,EFS,BRIGGS 4H
,,,TRUE,C-Tower,EFS,BRIGGS 5H
,,,TRUE,C-Tower,EFS,BRIGGS 6H
,,,TRUE,C-Tower,EFS,BRIGGS 7H
,,,TRUE,C-Tower,EFS,BRIGGS 8H
,,,TRUE,C-Tower,EFS,Briggs North
,,,TRUE,C-Tower,EFS,BRIGGS UNIT `A` 2H
,,,TRUE,C-Tower,EFS,BRIGGS UNIT D 3H
,,,TRUE,C-Tower,EFS,BRYMER 1H
,,,TRUE,C-Tower,EFS,CANNON 1H
,,,TRUE,C-Tower,EFS,CANNON UNIT 4H
,,,TRUE,C-Tower,EFS,CARVER UNIT 2H
,,,TRUE,C-Tower,EFS,CARVER UNIT 5H
,,,TRUE,C-Tower,EFS,Catarina Office
,,,TRUE,C-Tower,EFS,CB UNIT 1H
,,,TRUE,C-Tower,EFS,CEF 1H
,,,TRUE,C-Tower,EFS,CLYBURN UNIT 1H
,,,TRUE,C-Tower,EFS,COMBS UNIT 3H
,,,TRUE,C-Tower,EFS,D H UNIT 1H
,,,TRUE,C-Tower,EFS,D L RANCH 12H
,,,TRUE,C-Tower,EFS,D L RANCH 14H
,,,TRUE,C-Tower,EFS,D L RANCH 19H
,,,TRUE,C-Tower,EFS,D L RANCH 20H
,,,TRUE,C-Tower,EFS,D L RANCH 4H
,,,TRUE,C-Tower,EFS,D L RANCH 7H
,,,TRUE,C-Tower,EFS,DILLON UNIT 1H
,,,TRUE,C-Tower,EFS,DOUBLE K 13H
,,,TRUE,C-Tower,EFS,DOUBLE K 20H
,,,TRUE,C-Tower,EFS,DOUBLE K 32H
,,,TRUE,C-Tower,EFS,DOUBLE K 3H
,,,TRUE,C-Tower,EFS,DOUBLE K 8H
,,,TRUE,C-Tower,EFS,DOUBLE K 9H
,,,TRUE,C-Tower,EFS,DOUBLE K UNIT A 4H
,,,TRUE,C-Tower,EFS,DOVE EAST UNIT 1H
,,,TRUE,C-Tower,EFS,DOVE EAST UNIT 2H
,,,TRUE,C-Tower,EFS,DOVE WEST UNIT 1H
,,,TRUE,C-Tower,EFS,DOVE WEST UNIT 3H
,,,TRUE,C-Tower,EFS,DOYLE UNIT 2H
,,,TRUE,C-Tower,EFS,DREES A-179 2H
,,,TRUE,C-Tower,EFS,DREES A-179 3H
,,,TRUE,C-Tower,EFS,EDWARDS UNIT 4H
,,,TRUE,C-Tower,EFS,EL REGALO BUCKHORN 2H
,,,TRUE,C-Tower,EFS,EL REGALO BUCKHORN 4H
,,,TRUE,C-Tower,EFS,EL REGALO BUCKHORN 6H
,,,TRUE,C-Tower,EFS,EL REGALO BUCKHORN 7H
,,,TRUE,C-Tower,EFS,EL REGALO BUCKHORN 9H
,,,TRUE,C-Tower,EFS,FERNANDEZ UNIT 1H
,,,TRUE,C-Tower,EFS,GILBERT UNIT 1H
,,,TRUE,C-Tower,EFS,GILBERT UNIT 2H
,,,TRUE,C-Tower,EFS,GUBBELS 3H
,,,TRUE,C-Tower,EFS,GUBBELS UNIT A 1H
,,,TRUE,C-Tower,EFS,HAZEL UNIT 2H
,,,TRUE,C-Tower,EFS,HELMCAMP KING UNIT A 1H
,,,TRUE,C-Tower,EFS,HERBST S UNIT B 1H
,,,TRUE,C-Tower,EFS,HERBST UNIT A 1H
,,,TRUE,C-Tower,EFS,HERBST-MAY UNIT 2H
,,,TRUE,C-Tower,EFS,JAMBERS 12H
,,,TRUE,C-Tower,EFS,JAMBERS 17H
,,,TRUE,C-Tower,EFS,JAMBERS 19H
,,,TRUE,C-Tower,EFS,JAMBERS 1H
,,,TRUE,C-Tower,EFS,JAMBERS 24H
,,,TRUE,C-Tower,EFS,JAMBERS 37H
,,,TRUE,C-Tower,EFS,JAMBERS 45H
,,,TRUE,C-Tower,EFS,JAMBERS 49H
,,,TRUE,C-Tower,EFS,JAMBERS 4H
,,,TRUE,C-Tower,EFS,JAMBERS 54H
,,,TRUE,C-Tower,EFS,JAMBERS 57H
,,,TRUE,C-Tower,EFS,JAMBERS 5H
,,,TRUE,C-Tower,EFS,JAMBERS 62 H
,,,TRUE,C-Tower,EFS,JAMBERS 65H
,,,TRUE,C-Tower,EFS,JAMBERS 68H
,,,TRUE,C-Tower,EFS,JAMBERS 8H
,,,TRUE,C-Tower,EFS,JAMBERS 9H
,,,TRUE,C-Tower,EFS,JANYSEK UNIT 2H
,,,TRUE,C-Tower,EFS,JANYSEK UNIT 4H
,,,TRUE,C-Tower,EFS,JANYSEK UNIT 6H
,,,TRUE,C-Tower,EFS,JEFFREY 1H
,,,TRUE,C-Tower,EFS,JENDREZY 2H
,,,TRUE,C-Tower,EFS,JENDRZEY 3H
,,,TRUE,C-Tower,EFS,JOG UNIT 1H
,,,TRUE,C-Tower,EFS,JOG UNIT 2H
,,,TRUE,C-Tower,EFS,JOG UNIT 4H
,,,TRUE,C-Tower,EFS,JOG UNIT 5H
,,,TRUE,C-Tower,EFS,JOG UNIT E 1H
,,,TRUE,C-Tower,EFS,JOSEPH UNIT 4H
,,,TRUE,C-Tower,EFS,KAS UNIT SOUTH 4H
,,,TRUE,C-Tower,EFS,KAT UNIT 1H
,,,TRUE,C-Tower,EFS,KAT UNIT 2H
,,,TRUE,C-Tower,EFS,KAT UNIT 3H
,,,TRUE,C-Tower,EFS,KC UNIT 2H
,,,TRUE,C-Tower,EFS,KC UNIT 3H
,,,TRUE,C-Tower,EFS,KETCHBAW UNIT 2H
,,,TRUE,C-Tower,EFS,KETCHBAW UNIT 4H
,,,TRUE,C-Tower,EFS,KING UNIT A 1H
,,,TRUE,C-Tower,EFS,KING UNIT B 1H
,,,TRUE,C-Tower,EFS,KING UNIT E 1H
,,,TRUE,C-Tower,EFS,KING-ERB UNIT B 1H
,,,TRUE,C-Tower,EFS,KONE 12H
,,,TRUE,C-Tower,EFS,KONE 18H
,,,TRUE,C-Tower,EFS,KONE 1H
,,,TRUE,C-Tower,EFS,KONE 22H
,,,TRUE,C-Tower,EFS,KONE 28H
,,,TRUE,C-Tower,EFS,KONE 2H
,,,TRUE,C-Tower,EFS,KONE 31H
,,,TRUE,C-Tower,EFS,KONE 38H
,,,TRUE,C-Tower,EFS,KONE 42H
,,,TRUE,C-Tower,EFS,KONE 46H
,,,TRUE,C-Tower,EFS,KONE 4H
,,,TRUE,C-Tower,EFS,KONE 52H
,,,TRUE,C-Tower,EFS,KONE 56H
,,,TRUE,C-Tower,EFS,KONE 5H
,,,TRUE,C-Tower,EFS,KONE 60H
,,,TRUE,C-Tower,EFS,KONE 8H
,,,TRUE,C-Tower,EFS,KOWALIK UNIT B 1H
,,,TRUE,C-Tower,EFS,KRUCIAK UNIT 1H
,,,TRUE,C-Tower,EFS,KUYKENDALL 1H
,,,TRUE,C-Tower,EFS,KYLIE UNIT 2H
,,,TRUE,C-Tower,EFS,KYLIE UNIT 4H
,,,TRUE,C-Tower,EFS,L KELLNER UNIT 3H
,,,TRUE,C-Tower,EFS,LATKA UNIT 1H
,,,TRUE,C-Tower,EFS,LATKA UNIT 4H
,,,TRUE,C-Tower,EFS,LEWIS UNIT 1H
,,,TRUE,C-Tower,EFS,Linhart 10AC
,,,TRUE,C-Tower,EFS,LINHART 1H
,,,TRUE,C-Tower,EFS,LONE STAR UNIT 1H
,,,TRUE,C-Tower,EFS,LSWT 1H
,,,TRUE,C-Tower,EFS,LYSSY UNIT 2H
,,,TRUE,C-Tower,EFS,LYTLE UNIT 1H
,,,TRUE,C-Tower,EFS,MANKA UNIT 5H
,,,TRUE,C-Tower,EFS,MCADA 1H
,,,TRUE,C-Tower,EFS,MONTGOMERY UNIT 2H
,,,TRUE,C-Tower,EFS,MONTGOMERY UNIT 4H
,,,TRUE,C-Tower,EFS,MOURSUND UNIT 2H
,,,TRUE,C-Tower,EFS,NANCY EDMUND UNIT 1H
,,,TRUE,C-Tower,EFS,NET UNIT 1H
,,,TRUE,C-Tower,EFS,NIBLING EAST UNIT 2H
,,,TRUE,C-Tower,EFS,PAT UNIT 1H
,,,TRUE,C-Tower,EFS,PATTON UNIT 1H
,,,TRUE,C-Tower,EFS,PDR UNIT 1H
,,,TRUE,C-Tower,EFS,PDR UNIT 3H
,,,TRUE,C-Tower,EFS,PDR UNIT 5H
,,,TRUE,C-Tower,EFS,PDR UNIT 6H
,,,TRUE,C-Tower,EFS,PDR UNIT 7H
,,,TRUE,C-Tower,EFS,PEELER 1H
,,,TRUE,C-Tower,EFS,PENNINGTON UNIT 2H
,,,TRUE,C-Tower,EFS,PENNINGTON UNIT 4H
,,,TRUE,C-Tower,EFS,QUINTANILLA 3H
,,,TRUE,C-Tower,EFS,R MTZ UNIT 1H
,,,TRUE,C-Tower,EFS,RALPH 1HR
,,,TRUE,C-Tower,EFS,RALPH 2H
,,,TRUE,C-Tower,EFS,RLT UNIT A 1H
,,,TRUE,C-Tower,EFS,ROARK UNIT 1H
,,,TRUE,C-Tower,EFS,ROOS UNIT 1H
,,,TRUE,C-Tower,EFS,ROXANA UNIT 1H
,,,TRUE,C-Tower,EFS,RYCHLIK UNIT 1H
,,,TRUE,C-Tower,EFS,S & H TRUST 1H
,,,TRUE,C-Tower,EFS,SAYLEE SOUTH 1H
,,,TRUE,C-Tower,EFS,SAYLEE SOUTH 4H
,,,TRUE,C-Tower,EFS,SAYLEE SOUTH 7H
,,,TRUE,C-Tower,EFS,SCHENDEL A1H
,,,TRUE,C-Tower,EFS,SCHENDEL B 1H
,,,TRUE,C-Tower,EFS,SCHENDEL C1H
,,,TRUE,C-Tower,EFS,SCHENDEL D 1H
,,,TRUE,C-Tower,EFS,SCHENDEL E 1H
,,,TRUE,C-Tower,EFS,SCHENDEL F 1H
,,,TRUE,C-Tower,EFS,SCHENDEL G 1H
,,,TRUE,C-Tower,EFS,SHEARRER UNIT 1H
,,,TRUE,C-Tower,EFS,SHK UNIT 1H
,,,TRUE,C-Tower,EFS,SISTI EAST UNIT 1H
,,,TRUE,C-Tower,EFS,SISTI EAST UNIT 4H
,,,TRUE,C-Tower,EFS,SISTI WEST UNIT 3H
,,,TRUE,C-Tower,EFS,SMITH UNIT 1H
,,,TRUE,C-Tower,EFS,STUMBERG ESTATE 1H
,,,TRUE,C-Tower,EFS,STUMBERG ESTATE 8H
,,,TRUE,C-Tower,EFS,STUMBERG ESTATE UNIT B 1H
,,,TRUE,C-Tower,EFS,SUNFLOWER UNIT 1H
,,,TRUE,C-Tower,EFS,SWAIM 11H
,,,TRUE,C-Tower,EFS,SWAIM 1H
,,,TRUE,C-Tower,EFS,SWAIM 22H
,,,TRUE,C-Tower,EFS,SWAIM 24H_ST
,,,TRUE,C-Tower,EFS,SWAIM 25H
,,,TRUE,C-Tower,EFS,SWAIM 3H
,,,TRUE,C-Tower,EFS,SWAIM 5H
,,,TRUE,C-Tower,EFS,SWAIM 7H
,,,TRUE,C-Tower,EFS,TEAL UNIT C 1H
,,,TRUE,C-Tower,EFS,TEAL UNIT C 3H
,,,TRUE,C-Tower,EFS,TEAL UNIT D 3H
,,,TRUE,C-Tower,EFS,THIER UNIT 1H
,,,TRUE,C-Tower,EFS,TOM UNIT 1H
,,,TRUE,C-Tower,EFS,TURNBOW EAST UNIT 1H
,,,TRUE,C-Tower,EFS,TURNER UNIT 1H
,,,TRUE,C-Tower,EFS,TYLER 13H
,,,TRUE,C-Tower,EFS,TYLER 14H
,,,TRUE,C-Tower,EFS,TYLER 16H
,,,TRUE,C-Tower,EFS,TYLER 1H
,,,TRUE,C-Tower,EFS,TYLER 3H
,,,TRUE,C-Tower,EFS,TYLER 9H
,,,TRUE,C-Tower,EFS,TYLER UNIT E 1H
,,,TRUE,C-Tower,EFS,TYLER UNIT G 1H
,,,TRUE,C-Tower,EFS,WALLY UNIT A 1H
,,,TRUE,C-Tower,EFS,WALLY UNIT B 3H
,,,TRUE,C-Tower,EFS,WALNUT 1H
,,,TRUE,C-Tower,EFS,WHEELER UNIT 1H
,,,TRUE,C-Tower,EFS,WHITE TAIL UNIT 1H
,,,TRUE,C-Tower,EFS,WHITFIELD EAST UNIT 1H
,,,TRUE,C-Tower,EFS,WHITFIELD EAST UNIT 2H
,,,TRUE,C-Tower,EFS,WHITFIELD EAST UNIT 3H
,,,TRUE,C-Tower,EFS,WHITFIELD EAST UNIT 4H
,,,TRUE,C-Tower,EFS,WHITFIELD WEST UNIT 1H
,,,TRUE,C-Tower,EFS,WHITFIELD WEST UNIT 2H
,,,TRUE,C-Tower,EFS,WILLIAMS UNIT 1H
,,,TRUE,C-Tower,EFS,WILLIAMS UNIT 2H
,,,TRUE,C-Tower,EFS,WILSON UNIT 1H
,,,TRUE,C-Tower,EFS,Y-BAR 11H
,,,TRUE,C-Tower,EFS,Y-BAR 14 H
,,,TRUE,C-Tower,EFS,Y-BAR 1H
,,,TRUE,C-Tower,EFS,Y-BAR 21H
,,,TRUE,C-Tower,EFS,Y-BAR 22H
,,,TRUE,C-Tower,EFS,Y-BAR 25H
,,,TRUE,C-Tower,EFS,Y-BAR 4H
,,,TRUE,C-Tower,EFS,Y-BAR 8H
,,,TRUE,C-Tower,EFS,Y-BAR EAST UNIT A 1H
,,,TRUE,C-Tower,EFS,Y-BAR UNIT A 1H
,,,TRUE,C-Tower,EFS,Y-BAR UNIT C 1H
,,,TRUE,C-Tower,EFS,Y-BAR UNIT D 2H
,,,TRUE,C-Tower,EFS,Y-BAR WEST 1H
,,,TRUE,,GOM,
,,,TRUE,,GOM,Frontrunner
,,,TRUE,,GOM,Medusa
,,,TRUE,,GOM,Thunderhawk
,,,TRUE,,GOM,VK-786 / Dalmatian
,,,TRUE,,Alberta,
,,,TRUE,,Alberta,Dawsons Creek 
,,,TRUE,,Alberta,Tupper West 
,,,TRUE,,Alberta,Tupper Main
,,,TRUE,,Sarawak,
,,,TRUE,,Sarawak,Bintulu Office  
,,,TRUE,,Sarawak,Bintulu Warehouse 
,,,TRUE,Bintulu Offshore Receiving Facility,Sarawak,BORF 
,,,TRUE,Sarawak Offshore Platform,Sarawak,MEPA  
,,,TRUE,Sarawak Offshore Platform,Sarawak,GOPB 
,,,TRUE,Sarawak Offshore Platform,Sarawak,GOPA 
,,,TRUE,Sarawak Offshore Platform,Sarawak,SEPA 
,,,TRUE,Sarawak Offshore Platform,Sarawak,WPPA 
,,,TRUE,Sarawak Offshore Platform,Sarawak,WPPB 
,,,TRUE,Sarawak Offshore Platform,Sarawak,WPIA 
,,,TRUE,Sarawak Offshore Platform,Sarawak,WPFA 
,,,TRUE,Sarawak Offshore Platform,Sarawak,SAAA 
,,,TRUE,Sarawak Offshore Platform,Sarawak,SASA 
,,,TRUE,Sarawak Offshore Platform,Sarawak,PTSA 
,,,TRUE,Sarawak Offshore Platform,Sarawak,PRPA 
,,,TRUE,Sarawak Offshore Platform,Sarawak,SNAA 
,,,TRUE,Sarawak Offshore Platform,Sarawak,BESA
,,,TRUE,,Labuan,
,,,TRUE,,Labuan,Labuan Office 
,,,TRUE,,Labuan,Labuan Warehouse 
,,,TRUE,Labuan Offshore,Labuan,Kikeh FPSO 
,,,TRUE,Labuan Offshore,Labuan,DTU Spar
,,,TRUE,,Vietnam Drilling,
,,,TRUE,,Vietnam Drilling,PVD II
